,keyword,0
901,하는거,3
902,첫사랑,3
903,소식,3
904,깊이,3
905,독서,3
906,허지웅님,3
907,성황당,3
908,나름,3
909,2시간,3
910,응원합니다목소리,3
911,문소리배우님,3
912,이익,3
913,거리,3
914,이야기속,3
915,중학생,3
916,연암,3
917,노래,3
918,보,3
919,차분해,3
920,위트,3
921,무,3
922,잘듣겠습니다고맙습니다잘듣고,3
923,우현님,3
924,이별,3
925,예능,3
926,구입해서,3
927,좋아요성우님,3
928,빠져듭니,3
929,실력,3
930,평소,3
931,좋으,3
932,새,3
933,내용이네요잘,3
934,첫번,3
935,향수,3
936,진동음,3
937,해피,3
938,오디오북이네욯,3
939,조,3
940,감정선,3
941,좋아요좋아요좋아요,3
942,일제시대,3
943,다운,3
944,긍정적,3
945,낭낭한,3
946,특성,3
947,딸,3
948,메시지,3
949,좋은데요,3
950,지혜,3
951,상담,3
952,재밌습니,3
953,등록,3
954,인상,3
955,치료,3
956,분명,3
957,책내용,3
958,경우,3
959,딱이네요,3
960,듣는거,3
961,좋네요좋아요~,3
962,좋은배우,3
963,뭔지,3
964,고뇌,3
965,응원합니다♥♥♥♥♥,3
966,거부감,3
967,신경,3
968,조언,3
969,들었습니다직접,3
970,조아,3
971,영향,3
972,치유,3
973,형식,3
974,감사합니다너무,3
975,한번쯤,3
976,중간,3
977,새롭네요역시,3
978,김영미,3
979,머릿속,3
980,재밌겠네요,3
981,문학관,3
982,문성근씨,3
983,청소년,3
984,터,3
985,그림,3
986,서사,3
987,광주,3
988,듣겠습니다정말,3
989,서혜정,3
990,숙제,3
991,잘들을께요,3
992,충격적,3
993,고생,3
994,진정한,3
995,초등학교,3
996,제거,3
997,정신,3
998,이런게,3
999,출근길,3
1000,구매해,3
1001,미소,3
1002,집중력,3
1003,좋네요재미있,3
1004,동참,3
1005,좋아요책,3
1006,시도,3
1007,좋네요팟빵,3
1008,ㅎㅎ목소리,3
1009,같습니다어릴적,3
1010,우리들,3
1011,결합,3
1012,감사재미,3
1013,미리듣기,3
1014,욕망,3
1015,수능,3
1016,아이러니하,3
1017,교과서,3
1018,좋네요편안하,3
1019,성우버전,3
1020,꿈,3
1021,들어,3
1022,등장,3
1023,강부,3
1024,정호승,3
1025,읽은거,3
1026,와일드,3
1027,편리,3
1028,이동중,3
1029,반복,3
1030,박수,3
1031,자극,3
1032,감,3
1033,인정,3
1034,코미디,3
1035,5.,3
1036,유발,3
1037,고개,3
1038,작성,3
1039,작가분,3
1040,책이,3
1041,노자,3
1042,일단,3
1043,부탁드려요오디오북,3
1044,잘들어볼게여감사합니다,3
1045,들었습니다^^잘,3
1046,도서관,2
1047,소설내용,2
1048,코,2
1049,ㅎㅎ좋은내용,2
1050,퇴근길,2
1051,감사합니다좋습니,2
1052,좋네요예전,2
1053,핡,2
1054,들었습니다유익한,2
1055,성우목소리,2
1056,고립,2
1057,사용,2
1058,들어습니,2
1059,장발쟝,2
1060,구간,2
1061,무리,2
1062,있구나였습니다,2
1063,재밋게,2
1064,침착,2
1065,좋아요오,2
1066,총,2
1067,전설의고향,2
1068,선선,2
1069,들었습니다잘들을께요잘,2
1070,박수밀선생님,2
1071,도시,2
1072,생각나,2
1073,분쟁,2
1074,고맙습니다♥,2
1075,좋습니다소설,2
1076,군요,2
1077,정형석,2
1078,스토리텔링,2
1079,자료,2
1080,재밌어요좋아요,2
1081,들을게요~,2
1082,워딩,2
1083,잘들었습니다좋아요잘,2
1084,흡입력있,2
1085,일부,2
1086,예측,2
1087,좋아요응원합니,2
1088,시점,2
1089,바보,2
1090,와우,2
1091,&,2
1092,아무말,2
1093,음,2
1094,깨달음,2
1095,감사합니다좋네요,2
1096,듣는소설,2
1097,ㅎㅎ좋아요,2
1098,감사합니다유익한,2
1099,이동,2
1100,재해석,2
1101,명배우님,2
1102,판타지,2
1103,ㅎㅎ오디오북,2
1104,응원합니다항상,2
1105,여자,2
1106,승열님,2
1107,부재,2
1108,들었습니다좋은내용,2
1109,굿좋아요,2
1110,출판사,2
1111,좋아요재미있게,2
1112,추천요,2
1113,편하긴,2
1114,한여름밤,2
1115,괴담,2
1116,내면,2
1117,같아요좋,2
1118,기계,2
1119,좋습니다역시,2
1120,둘,2
1121,실사구시,2
1122,바다,2
1123,연결,2
1124,옛날생각,2
1125,어린아이,2
1126,민식님,2
1127,저희,2
1128,두개,2
1129,와닿지,2
1130,좋구,2
1131,안읽,2
1132,최고에요너무,2
1133,친근,2
1134,나긋,2
1135,좋아요가슴,2
1136,데일카네,2
1137,자신만,2
1138,좋네요잘들었습니,2
1139,있을거,2
1140,좋아요사,2
1141,이시,2
1142,이즈,2
1143,전율,2
1144,인간적,2
1145,천재,2
1146,명쾌,2
1147,느껴집니다목소리,2
1148,다시듣,2
1149,봣는데,2
1150,좋아요오디오북,2
1151,지현,2
1152,들었습니다항상,2
1153,울컥,2
1154,외할머니,2
1155,객관적,2
1156,조금더,2
1157,좋구요,2
1158,가정,2
1159,동호,2
1160,좋아요많,2
1161,분석,2
1162,일거,2
1163,막내,2
1164,역,2
1165,그리움,2
1166,이런,2
1167,잔잔해서,2
1168,좋아요한예리님,2
1169,좋음목소리,2
1170,저음,2
1171,평점,2
1172,부자연,2
1173,칭찬,2
1174,구독신청,2
1175,만화보,2
1176,들었습니다들으,2
1177,들었습니다처음,2
1178,이러,2
1179,한번씩,2
1180,허무하네요영화,2
1181,아파트,2
1182,명성,2
1183,좋은책,2
1184,발휘,2
1185,경청,2
1186,중학교때,2
1187,한테,2
1188,황작가님,2
1189,좋은작품,2
1190,정호승님,2
1191,좋네요편안한,2
1192,♡잘,2
1193,시험,2
1194,좋아요성우분들,2
1195,이것,2
1196,암기,2
1197,초등,2
1198,잘들었습니다정말,2
1199,되었습니다잘,2
1200,원활,2
1201,수능특강,2
1202,하성운낭독,2
1203,하루종일,2
1204,어른이,2
1205,18,2
1206,유전무죄,2
1207,일제,2
1208,아버지,2
1209,감사합니다정말,2
1210,질,2
1211,베리굿좋아요,2
1212,우리아이,2
1213,잠자리독서,2
1214,본질,2
1215,방황,2
1216,들었습니다재밌어요,2
1217,형제,2
1218,박지윤,2
1219,검색,2
1220,믿음,2
1221,중요성,2
1222,감정적,2
1223,베른,2
1224,지하철,2
1225,빛,2
1226,말씀하시,2
1227,11월,2
1228,잭블랙,2
1229,소인국,2
1230,디테일,2
1231,들었습니다많,2
1232,유혹,2
1233,안락,2
1234,작법,2
1235,듣겠습니다잘들을께요잘,2
1236,해학,2
1237,사기,2
1238,좋아요잘들었읍니,2
1239,인류,2
1240,시원,2
1241,좋아요차분한목소리,2
1242,우울,2
1243,집안일,2
1244,충실,2
1245,인터뷰,2
1246,한국문학,2
1247,더많,2
1248,좋네요기대,2
1249,원형,2
1250,여지,2
1251,영화보,2
1252,재밌었어요,2
1253,한국,2
1254,좋은일,2
1255,청하,2
1256,인싸이트,2
1257,감사합니다듣기,2
1258,좋네요차분한목소리,2
1259,되네요정말,2
1260,이상주의자,2
1261,2,2
1262,선생님들,2
1263,전체,2
1264,첫페이지,2
1265,없소,2
1266,유병재유병재,2
