,title,voice,author,publish
40,[커뮤니케이션이해총서]시간을 이긴 디자인 10선,조영식,조영식,커뮤니케이션북스
41,[커뮤니케이션이해총서]로컬 콘텐츠의 기획과 제작,"김영수, 이정기","김영수, 이정기",커뮤니케이션북스
42,[커뮤니케이션이해총서]원소스멀티유스와 저작권 침해,최승재,최승재,커뮤니케이션북스
43,[커뮤니케이션이해총서]인디 게임,이정엽,이정엽,커뮤니케이션북스
44,[커뮤니케이션이해총서]성공적인 글로벌 기업 이미지 마케팅,강승구,강승구,커뮤니케이션북스
45,[커뮤니케이션이해총서]경합적 민주주의,유용민,유용민,커뮤니케이션북스
46,[커뮤니케이션이해총서]중국인의 체면,주민욱,주민욱,커뮤니케이션북스
47,[커뮤니케이션이해총서]저널리스트,이현택,이현택,커뮤니케이션북스
48,[커뮤니케이션이해총서]사과의 공식,이현우,이현우,커뮤니케이션북스
49,[커뮤니케이션이해총서]사용자경험과 서비스 변화,문재승,문재승 김한준 백소연 태은주,커뮤니케이션북스
50,[커뮤니케이션이해총서]10대를 위한 미디어,김덕원,김덕원,커뮤니케이션북스
51,[커뮤니케이션이해총서]네트워크와 운하,박태순,박태순,커뮤니케이션북스
52,[커뮤니케이션이해총서]대중가요 리메이크와 복고,박선민,박선민,커뮤니케이션북스
53,[커뮤니케이션이해총서]트랜스미디어 콘텐츠의 세계,김희경,김희경,커뮤니케이션북스
54,[커뮤니케이션이해총서]단편영화 연출,김아론,김아론,커뮤니케이션북스
55,[커뮤니케이션이해총서]미디어와 문화,김형곤,김형곤,커뮤니케이션북스
56,[커뮤니케이션이해총서]대중문화 비평의 관점과 기술,김정은,김정은,커뮤니케이션북스
57,[커뮤니케이션이해총서]환자를 위하는 의사의 대화법,우상수,우상수,커뮤니케이션북스
58,[커뮤니케이션이해총서]사전과 정보란 무엇인가,안의정,안의정,커뮤니케이션북스
59,[커뮤니케이션이해총서]가십,김정희,김정희,커뮤니케이션북스
60,[커뮤니케이션이해총서]스트리밍 시대의 비디오 저널리스트,이호은,이호은,커뮤니케이션북스
61,[커뮤니케이션이해총서]디지털 영상 플랫폼의 이해,김혜미,김혜미,커뮤니케이션북스
62,[커뮤니케이션이해총서]스마트 시대의 광고 문화,김병희,김병희,커뮤니케이션북스
63,[커뮤니케이션이해총서]소통과 공감의 힘,임동욱,임동욱,커뮤니케이션북스
64,[커뮤니케이션이해총서]디지털 방송의 보편적 서비스,최은경,최은경,커뮤니케이션북스
65,[커뮤니케이션이해총서]축제와 융합 콘텐츠 전략,류정아,류정아,커뮤니케이션북스
66,[커뮤니케이션이해총서]퍼스널 스토리텔링 전략,김태욱,김태욱,커뮤니케이션북스
67,[커뮤니케이션이해총서]소셜 미디어 시대의 광고,소현진,"김병희, 소현진, 이희복",커뮤니케이션북스
68,[커뮤니케이션이해총서]프로덕션 디자이너,심형근,심형근,커뮤니케이션북스
69,[커뮤니케이션이해총서]국제 공동제작,배기형,배기형,커뮤니케이션북스
70,[커뮤니케이션이해총서]스마트폰과 디지털 영상 제작,송낙원,송낙원,커뮤니케이션북스
71,[커뮤니케이션이해총서]오디오북과 낭독,"이진숙, 김희선","이진숙, 김희선",커뮤니케이션북스
72,[커뮤니케이션이해총서]미디어 리터러시 교육의 이해,김아미,김아미,커뮤니케이션북스
73,[커뮤니케이션이해총서]기만적인 표시 광고,조재영,조재영,커뮤니케이션북스
74,[커뮤니케이션이해총서]영화 흥행 요인,장병희,장병희,커뮤니케이션북스
75,[커뮤니케이션이해총서]스포츠 스폰서십의 이해,이재우,이재우,커뮤니케이션북스
76,[커뮤니케이션이해총서]문화예술 PR,김병희,김병희,커뮤니케이션북스
77,[커뮤니케이션이해총서]미디어 기호학,백선기,백선기,커뮤니케이션북스
78,[커뮤니케이션이해총서]미디어 제도 연구,허찬행,허찬행,커뮤니케이션북스
79,[커뮤니케이션이해총서]미디어 담론,백선기,백선기,커뮤니케이션북스
80,[커뮤니케이션이해총서]세계 방송의 거인들,김해영,"김우룡, 김해영",커뮤니케이션북스
81,[커뮤니케이션이해총서]주크박스 뮤지컬,원종원,원종원,커뮤니케이션북스
82,[커뮤니케이션이해총서]미디어 리터러시의 이해,전경란,전경란,커뮤니케이션북스
83,[커뮤니케이션이해총서]대중문화론,백선기,백선기,커뮤니케이션북스
84,[커뮤니케이션이해총서]텔레비전과 시청률,심미선,심미선,커뮤니케이션북스
85,[커뮤니케이션이해총서]다큐멘터리 피칭,배기형,배기형,커뮤니케이션북스
86,[커뮤니케이션이해총서]커뮤니케이션 정치경제학자들,최은경,최은경,커뮤니케이션북스
87,[커뮤니케이션이해총서]푸드 커뮤니케이션 전략,최홍규,최홍규,커뮤니케이션북스
88,[커뮤니케이션이해총서]콘텐츠 큐레이션,최홍규,최홍규,커뮤니케이션북스
89,[커뮤니케이션이해총서]비언어 커뮤니케이션,김해영,"김우룡, 김해영",커뮤니케이션북스
90,[커뮤니케이션이해총서]들뢰즈와 미디어,최영송,최영송,커뮤니케이션북스
91,[커뮤니케이션이해총서]공공서비스 미디어,최선욱,최선욱,커뮤니케이션북스
92,[커뮤니케이션이해총서]기업을 바꾼 10대 정보시스템,노규성,노규성,커뮤니케이션북스
93,[커뮤니케이션이해총서]유럽 영화 운동,이나라,이나라,커뮤니케이션북스
94,[커뮤니케이션이해총서]뉴로 커뮤니케이션,조창연,조창연,커뮤니케이션북스
95,[커뮤니케이션이해총서]해석수준 이론과 거리감 효과,정의준,"정의준, 유승호",커뮤니케이션북스
96,"[커뮤니케이션이해총서]통신의 역사, 봉수에서 아이폰까지",김해영,"김우룡, 김해영",커뮤니케이션북스
97,[커뮤니케이션이해총서]글로벌 PR의 오늘,신인섭,"신인섭, 이명천",커뮤니케이션북스
98,[커뮤니케이션이해총서]사라진 방송국,한진만,한진만,커뮤니케이션북스
99,[커뮤니케이션이해총서]사물인터넷 사회,노규성,노규성,커뮤니케이션북스
100,[커뮤니케이션이해총서]미디어 글쓰기,조철래,조철래,커뮤니케이션북스
101,[커뮤니케이션이해총서]대중가요 작사,김태희,김태희,커뮤니케이션북스
102,[커뮤니케이션이해총서]ott 서비스의 이해,배기형,배기형,커뮤니케이션북스
103,"[커뮤니케이션이해총서]어카운터빌리티, 새로운 미디어 규범",정수영,정수영,커뮤니케이션북스
104,[커뮤니케이션이해총서]미디어 모니터링,임동욱,임동욱,커뮤니케이션북스
105,[커뮤니케이션이해총서]방송 재원,황근,황근,커뮤니케이션북스
106,[커뮤니케이션이해총서]세계 10대 메가 스포츠 이벤트와 스폰서십,김주호,김주호,커뮤니케이션북스
107,[커뮤니케이션이해총서]한국의 방송위원회,한진만,한진만,커뮤니케이션북스
108,[커뮤니케이션이해총서]인터넷 자율 규제와 법,황승흠,황승흠,커뮤니케이션북스
109,[커뮤니케이션이해총서]가족 커뮤니케이션,반승원,반승원,커뮤니케이션북스
110,[커뮤니케이션이해총서]미디어 경제학,장병희,장병희,커뮤니케이션북스
111,[커뮤니케이션이해총서]디지털 세대 문화 정체성,이종임,이종임,커뮤니케이션북스
112,[커뮤니케이션이해총서]대중문화예술산업발전법 해설,황승흠,황승흠,커뮤니케이션북스
113,[커뮤니케이션이해총서]미디어의 세계화 이론과 모순,한수경,한수경,커뮤니케이션북스
114,[커뮤니케이션이해총서]단편영화 제작 입문,이찬복,이찬복,커뮤니케이션북스
115,[커뮤니케이션이해총서]게임 플랫폼과 콘텐츠 진화,한창완,한창완,커뮤니케이션북스
116,[커뮤니케이션이해총서]전략적 커뮤니케이션,신호창,신호창,커뮤니케이션북스
117,[커뮤니케이션이해총서]게이미피케이션,권보연,권보연,커뮤니케이션북스
